,B14.5,B15.5,B17.5,B20,B34,C14.5,C15.5,C17.5,C20,C34
ENSMUSG00000024774,5,5,2,8,5,1,5,0,2,0
ENSMUSG00000024776,44,59,131,172,223,112,119,236,222,215
ENSMUSG00000035783,44,86,214,130,143,68,120,11,171,182
ENSMUSG00000118066,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024778,3,4,10,5,7,1,3,5,4,8
ENSMUSG00002075250,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002076079,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000050370,1,2,5,3,5,0,4,1,3,6
ENSMUSG00000097558,0,2,8,4,23,4,12,10,17,11
ENSMUSG00000024781,264,284,349,292,352,386,443,343,388,404
ENSMUSG00000118048,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000045932,147,140,186,182,153,98,110,130,223,97
ENSMUSG00000074896,6,5,13,2,7,3,7,1,2,48
ENSMUSG00000079339,5,3,15,11,13,14,14,14,11,15
ENSMUSG00000062488,1,0,2,2,4,1,3,0,5,41
ENSMUSG00000024786,0,0,0,3,0,1,0,0,2,0
ENSMUSG00000067297,6,5,7,5,4,3,5,9,5,2
ENSMUSG00000118260,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000034459,0,1,3,1,3,3,0,1,3,8
ENSMUSG00000024784,2,1,1,4,0,1,0,1,3,1
ENSMUSG00000009378,40,61,62,73,42,65,116,13,50,43
ENSMUSG00000118098,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002074940,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118083,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000088212,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117945,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024777,1118,1570,1844,2109,2665,1127,1715,2980,2650,2173
ENSMUSG00000033610,332,288,336,318,405,397,381,431,442,410
ENSMUSG00000065594,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024773,601,720,818,720,813,612,929,914,1036,808
ENSMUSG00000065582,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000065523,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000085196,3,5,5,10,3,4,3,5,7,5
ENSMUSG00000024772,1098,1255,1354,1091,511,1202,1376,1595,1291,899
ENSMUSG00000024769,199,229,209,182,104,210,266,257,301,815
ENSMUSG00000117681,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024795,648,340,266,120,40,254,195,59,136,32
ENSMUSG00000089151,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000101966,0,1,0,0,0,0,0,0,1,0
ENSMUSG00000117865,0,0,0,1,1,0,0,0,0,0
ENSMUSG00000117973,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089087,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002075816,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002076303,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118212,0,0,0,2,2,0,1,3,0,1
ENSMUSG00000077205,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024798,20,58,93,149,257,71,114,268,263,174
ENSMUSG00000024800,367,278,258,212,161,242,201,234,175,181
ENSMUSG00000024803,0,0,0,0,2,0,2,1,3,1
ENSMUSG00000117998,0,0,2,0,2,0,0,0,1,0
ENSMUSG00000118032,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000114859,0,1,0,0,2,0,0,0,0,1
ENSMUSG00000100969,0,0,0,1,0,0,0,0,1,0
ENSMUSG00000117761,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118966,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118182,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117928,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118393,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118052,2,3,23,13,39,0,4,3,5,6
ENSMUSG00000118203,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000117886,9,10,10,6,1,7,11,6,1,10
ENSMUSG00000024947,1314,1363,1281,1060,922,1062,1232,1295,1140,696
ENSMUSG00000024805,223,164,107,111,173,136,121,73,113,345
ENSMUSG00000114285,0,0,1,0,0,0,0,0,0,0
ENSMUSG00002076963,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000114409,0,0,0,1,0,1,0,4,0,3
ENSMUSG00000114235,3,3,1,1,5,1,4,2,3,3
ENSMUSG00000024831,237,231,208,193,167,214,193,205,214,195
ENSMUSG00000024829,380,308,258,301,260,278,350,392,291,285
ENSMUSG00000099261,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000118213,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000024900,476,410,500,569,499,495,521,310,727,443
ENSMUSG00000041180,396,341,357,408,482,311,338,156,323,217
ENSMUSG00000067279,59,87,212,218,435,138,180,193,249,459
